temperature,Gas1RS/Rmax,Gas2RS/Rmax,Gas3RS/Rmax,Vc
31,100,100,100,5.05
52,100,100,100,5.06
49,99,100,100,5.06
32,99,100,100,5.06
31,99,100,100,5.06
30,98,96,98,5.06
50,98,96,98,5.06
52,98,96,98,5.06
29,98,100,100,5.06
46,98,100,100,5.06
54,98,100,100,5.06
33,98,96,98,5.06
29,98,96,98,5.06
52,98,96,98,5.06
30,98,96,98,5.06
51,99,100,100,5.06
36,99,100,100,5.06
29,99,100,100,5.06
29,99,96,98,5.06
30,99,96,98,5.06
38,99,96,92,5.06
54,98,96,98,5.06
35,99,96,98,5.06
39,99,96,98,5.06
35,99,96,98,5.06
30,99,96,98,5.06
31,99,96,98,5.06
30,99,96,98,5.06
30,99,96,98,5.06
43,99,96,98,5.06
30,99,96,96,5.06
31,99,100,98,5.06
31,99,96,98,5.06
54,99,96,98,5.06
49,100,96,100,5.06
31,99,96,98,5.06
29,100,96,98,5.06
51,100,96,98,5.06
34,99,96,92,5.06
30,100,96,98,5.06
37,99,96,98,5.06
30,100,96,98,5.06
32,100,96,98,5.06
30,100,96,98,5.06
29,100,96,98,5.06
31,100,96,98,5.06
30,98,96,98,5.06
29,100,96,98,5.06
34,100,96,96,5.06
30,100,96,98,5.06
39,100,96,98,5.06
38,100,96,96,5.06
34,100,96,98,5.06
46,100,96,98,5.06
29,100,96,98,5.06
41,100,93,96,5.06
30,100,96,98,5.06
30,100,96,98,5.06
41,100,96,98,5.06
29,100,96,98,5.06
29,100,96,98,5.06
31,100,96,98,5.06
32,100,96,98,5.06
38,100,96,98,5.06
32,100,100,98,5.06
29,100,96,98,5.06
34,100,96,98,5.06
29,99,96,96,5.06
36,99,96,96,5.06
29,100,96,98,5.06
33,100,96,98,5.06
35,100,96,98,5.06
34,100,96,98,5.06
32,97,100,98,5.06
33,100,96,98,5.06
29,100,100,98,5.06
37,100,96,98,5.06
33,100,96,98,5.06
33,100,96,98,5.06
50,100,96,98,5.06
50,100,96,96,5.06
49,100,96,98,5.06
33,100,96,98,5.06
53,100,96,96,5.06
33,100,93,96,5.06
48,100,96,98,5.06
32,100,96,98,5.06
30,100,96,98,5.06
38,100,93,96,5.06
30,100,96,98,5.06
29,100,96,98,5.06
38,100,96,98,5.06
53,100,96,96,5.06
45,100,96,98,5.06
33,100,96,98,5.06
29,100,96,96,5.06
30,100,96,98,5.06
47,100,96,98,5.06
33,99,93,96,5.06
30,100,96,98,5.06
34,100,96,98,5.06
34,100,86,98,5.06
33,100,96,98,5.06
29,100,96,98,5.06
35,100,93,91,5.06
51,100,96,98,5.06
36,100,96,98,5.06
32,100,96,96,5.06
33,100,96,98,5.06
30,100,96,96,5.06
37,100,96,98,5.06
38,100,96,96,5.06
34,100,96,98,5.06
36,100,96,98,5.06
33,100,96,96,5.06
53,100,96,98,5.06
30,100,96,98,5.06
30,100,96,96,5.06
33,100,96,98,5.06
53,99,96,98,5.06
31,100,96,96,5.06
32,99,96,98,5.06
29,100,96,98,5.06
37,99,96,96,5.06
32,99,96,96,5.06
32,100,96,98,5.06
32,100,96,98,5.06
33,100,96,96,5.06
31,99,96,96,5.06
31,99,93,91,5.07
29,99,96,98,5.06
37,100,96,98,5.06
29,100,96,98,5.06
34,100,96,96,5.06
36,100,96,98,5.06
53,100,96,96,5.06
42,100,96,96,5.06
30,99,96,96,5.06
47,100,96,98,5.06
47,100,96,98,5.06
31,100,96,98,5.06
38,100,96,96,5.06
30,100,96,98,5.06
45,100,96,98,5.06
31,100,96,96,5.06
42,100,96,98,5.06
32,100,96,98,5.06
29,100,93,96,5.06
41,100,96,98,5.06
53,100,96,98,5.06
55,100,96,96,5.06
44,100,96,98,5.06
32,100,96,98,5.06
29,100,93,96,5.06
34,100,96,96,5.06
29,100,96,98,5.06
36,100,96,98,5.06
37,100,96,98,5.06
35,100,96,91,5.06
33,100,93,96,5.06
34,100,96,96,5.06
38,100,96,96,5.06
30,100,96,96,5.06
48,100,96,98,5.06
40,100,96,96,5.06
33,99,96,96,5.06
40,99,93,96,5.06
46,99,93,91,5.06
50,99,86,98,5.06
30,97,100,98,5.06
39,97,100,96,5.06
31,100,96,96,5.06
33,100,96,96,5.06
49,100,96,96,5.06
30,100,96,96,5.06
33,100,96,96,5.06
46,100,96,96,5.06
29,100,96,98,5.06
31,100,96,98,5.06
34,100,96,98,5.06
41,100,96,98,5.06
30,100,96,98,5.06
34,100,96,98,5.06
34,100,96,98,5.06
42,100,96,98,5.06
29,100,96,98,5.06
51,100,96,98,5.06
33,100,96,98,5.06
30,100,96,98,5.06
29,100,96,98,5.06
29,100,96,98,5.06
33,100,96,98,5.06
29,99,96,98,5.06
29,99,96,98,5.06
49,99,96,96,5.06
30,99,96,96,5.06
50,99,96,96,5.06
30,100,96,96,5.06
37,100,96,98,5.06
46,100,96,98,5.06
29,100,96,98,5.06
41,100,96,98,5.06
33,100,96,98,5.06
37,100,96,98,5.06
32,100,96,96,5.06
35,99,93,96,5.06
32,99,86,98,5.06
45,100,96,96,5.06
38,100,96,98,5.06
40,100,96,98,5.06
30,100,96,96,5.06
30,99,86,98,5.06
36,100,96,96,5.06
29,100,96,96,5.06
50,100,96,98,5.06
32,100,96,96,5.06
40,100,96,96,5.06
37,100,96,96,5.06
29,100,96,96,5.06
31,100,96,98,5.06
45,100,96,96,5.06
44,100,96,96,5.06
49,100,96,98,5.06
52,100,96,98,5.07
44,99,96,96,5.06
33,99,96,96,5.06
50,99,93,96,5.06
56,99,93,96,5.06
30,99,96,96,5.06
40,99,96,98,5.06
30,99,96,98,5.06
29,99,96,98,5.06
53,100,96,98,5.06
41,99,96,96,5.06
47,99,96,96,5.06
30,99,93,96,5.06
30,99,96,96,5.06
29,99,96,96,5.06
32,99,96,96,5.06
49,99,96,98,5.06
30,99,96,96,5.06
50,99,93,96,5.06
30,100,96,96,5.06
29,99,96,96,5.06
30,99,96,96,5.06
32,99,96,98,5.06
29,99,96,96,5.06
43,99,96,96,5.06
39,97,96,96,5.06
39,99,93,96,5.06
29,99,96,96,5.06
53,99,96,98,5.06
29,99,96,96,5.06
30,99,93,96,5.06
35,99,96,96,5.06
30,99,96,96,5.06
29,99,96,98,5.06
29,99,93,96,5.06
29,99,96,96,5.06
29,99,96,96,5.06
39,99,96,96,5.06
32,99,93,96,5.06
29,99,96,96,5.06
29,99,96,96,5.06
43,100,96,96,5.06
32,99,96,96,5.06
33,100,96,96,5.06
40,99,96,96,5.06
32,99,93,96,5.06
55,99,96,96,5.06
32,100,96,96,5.06
29,99,96,96,5.06
50,99,96,96,5.06
42,100,96,96,5.06
34,100,96,96,5.06
31,100,96,96,5.06
41,100,96,96,5.06
54,100,96,96,5.06
30,100,96,96,5.06
29,99,93,96,5.06
33,100,96,96,5.06
33,100,96,98,5.06
29,100,96,96,5.06
29,100,96,96,5.06
29,100,96,96,5.06
30,99,93,91,5.06
32,100,96,96,5.06
